item,itemLabel,itemDescription,coordinate,instance_ofLabel,named_afters,named_afterLabel,named_afterDescriptions,named_after_instance_ofLabels,named_after_genderLabel,postal_codes,length,inception,place_of_birth,place_of_death,citizenships,occupations,birth_years,death_years
http://www.wikidata.org/entity/Q95390147,Marianne-Bruns-Straße,Straße in Dresden,Point(13.77151 51.00874),Innerortsstraße,http://www.wikidata.org/entity/Q1713604,Marianne Bruns,,,weiblich,01219,,,Leipzig,Dresden,"Deutschland,Deutsche Demokratische Republik","Dichter, Schriftsteller",1897,1994
http://www.wikidata.org/entity/Q95390187,Kurt-Liebmann-Straße,Straße in Dresden,Point(13.76996 51.00897),Innerortsstraße,http://www.wikidata.org/entity/Q1667167,Kurt Liebmann,,,männlich,01219,,,Dessau,Dresden,Deutschland,"Hochschullehrer, Schriftsteller",1897,1981
http://www.wikidata.org/entity/Q95690060,Rabenerstraße,Straße in Dresden,Point(13.7393 51.03544),Innerortsstraße,http://www.wikidata.org/entity/Q72691,Gottlieb Wilhelm Rabener,,,männlich,01069,,,Wachau,Dresden,Deutschland,"Dichterjurist, Dramatiker, Schriftsteller",1714,1771
http://www.wikidata.org/entity/Q95690324,Henriette-Heber-Straße,Straße in Dresden,Point(13.71869 51.04117),Innerortsstraße,http://www.wikidata.org/entity/Q1529536,Henriette Heber,,,weiblich,01069,,,Dresden,Dresden,Deutschland,Rekrutierer,1795,1869
http://www.wikidata.org/entity/Q95690551,Lahmannring,Straße in Dresden-Weißer Hirsch,Point(13.81757 51.06394),Innerortsstraße,http://www.wikidata.org/entity/Q85010,Heinrich Lahmann,,,männlich,01324,,,Bremen,Friedrichstal,Deutschland,Arzt,1860,1905
http://www.wikidata.org/entity/Q95690570,Hermann-Prell-Straße,Straße in Dresden,Point(13.8136 51.06274),Innerortsstraße,http://www.wikidata.org/entity/Q1612380,Hermann Prell,,,männlich,"01326, 01324",,,Leipzig,Loschwitz,Deutschland,"Kunstlehrer, Kunsthistoriker, Hochschullehrer, Bildhauer, Maler",1854,1922
http://www.wikidata.org/entity/Q95690742,Küntzelmannstraße,Straße in Dresden,Point(13.81633 51.0628),Innerortsstraße,http://www.wikidata.org/entity/Q1874721,Ludwig Küntzelmann,,,männlich,01324,,,Dresden,,Deutschland,Industrieller,1826,1881
http://www.wikidata.org/entity/Q95690796,Oskar-Pletsch-Straße,Straße in Dresden,Point(13.82227 51.06042),Innerortsstraße,http://www.wikidata.org/entity/Q1377392,Oscar Pletsch,,,männlich,01324,,,Berlin,Niederlößnitz,Deutschland,"Exlibriskünstler, Illustrator, Maler",1830,1888
http://www.wikidata.org/entity/Q72662096,Caroline-Bardua-Straße,Straße in Dresden,Point(13.75647 51.0192),Innerortsstraße,http://www.wikidata.org/entity/Q201699,Caroline Bardua,,,weiblich,01217,,,Ballenstedt,Ballenstedt,Herzogtum Anhalt,"Salonnière, Maler",1781,1864
http://www.wikidata.org/entity/Q72662128,Clausen-Dahl-Straße,Straße in Dresden,Point(13.7606 51.01557),Innerortsstraße,http://www.wikidata.org/entity/Q164735,Johan Christian Dahl,,,männlich,01219,,,Bergen,Dresden,Norwegen,"Maler, Professor",1788,1857
