Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3268;02014;"Lommatzscher Straße                ";"53  ";"121 ";"38  ";"76  ";"Pieschen            ";"Mickten                  ";224  Mickten(Lommatzscher Str);Nord;01139;159;"  ";"  "
3269;02014;"Lommatzscher Straße                ";"    ";"    ";"82  ";"    ";"Pieschen            ";"Kaditz                   ";231  Kaditz(Wächterstr);Nord;01139;159;"  ";"  "
3270;02014;"Lommatzscher Straße                ";"125 ";"    ";"    ";"    ";"Pieschen            ";"Mickten                  ";225  Mickten(Sternstr);Nord;01139;159;"  ";"  "
3271;07064;"Lomnitzer Straße                   ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";427  Alt-Bühlau/Quohren;Nord;01324;159;"  ";"  "
3272;09225;"Lönsstraße                         ";"    ";"    ";"    ";"    ";"Leuben              ";"Meußlitz                 ";633  Meußlitz;"Süd ";01259;158;"  ";"  "
3273;14121;"Lönsweg                            ";"    ";"    ";"    ";"    ";"Cotta               ";"Cotta                    ";911  Cotta(Cossebauder Str);"Süd ";01157;159;"  ";"  "
3274;08055;"Lortzingstraße                     ";"1   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";076  Johannst.-Süd(Cranachstr);"Süd ";01307;158;"  ";"  "
3275;08055;"Lortzingstraße                     ";"    ";"    ";"8   ";"20  ";"Altstadt            ";"Dresden-Altstadt 2       ";079  Johannst.-Süd(Lortzingstr);"Süd ";01307;158;"  ";"  "
3276;08055;"Lortzingstraße                     ";"25  ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";078  Johannst.-Süd(M.-Cebotari-Str);"Süd ";01307;158;"  ";"  "
3277;08055;"Lortzingstraße                     ";"35  ";"37  ";"30  ";"32  ";"Altstadt            ";"Dresden-Altstadt 2       ";068  Johannst.-N(Uni-Klinikum);"Süd ";01307;158;"  ";"  "
