ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
1566,http://www.wikidata.org/entity/Q72662050,Burgkstraße,Point(13.69761 51.04664),http://www.wikidata.org/entity/Q709085,Arthur Dathe von Burgk,deutscher Montanunternehmer und Politiker,1159,ja,Person real,,,,,,Straße,Straße
354,http://www.wikidata.org/entity/Q66615347,Flößerstraße,Point(13.697622 51.078042),,,,1139,nein,Beruf/Funktion,,,,,,Straße,Straße
2171,http://www.wikidata.org/entity/Q66615367,Radebeuler Straße,Point(13.697682 51.080715),http://www.wikidata.org/entity/Q8762,Radebeul,"Große Kreisstadt im Landkreis Meißen, Sachsen, Deutschland",1139,nein,Ort,,,,,,Straße,Straße
1199,http://www.wikidata.org/entity/Q99397739,Zinggstraße,Point(13.69773 51.07034),http://www.wikidata.org/entity/Q321099,Adrian Zingg,Schweizer Maler und Graphiker,1139,nein,Person real,,,,,,Straße,Straße
506,http://www.wikidata.org/entity/Q72661377,Am Lerchenberg,Point(13.69775 51.04855),,,,1159,ja,weitere Geografika,Flurname,,,,,Berg,Sonstige
1641,http://www.wikidata.org/entity/Q66619380,Peschelstraße,Point(13.697869 51.087551),http://www.wikidata.org/entity/Q75904,Oscar Peschel,"deutscher Geograph, Schriftsteller und Redakteur",1139,ja,Person real,,,,,,Straße,Straße
1497,http://www.wikidata.org/entity/Q66587487,Rauchstraße,Point(13.698186 51.073568),http://www.wikidata.org/entity/Q714972,Christian Daniel Rauch,deutscher Bildhauer (1777-1857),1139,ja,Person real,,,,,,Straße,Straße
858,http://www.wikidata.org/entity/Q1335476,Emerich-Ambros-Ufer,Point(13.6982 51.0527),http://www.wikidata.org/entity/Q1335475,Emerich Ambros,"ungarischer Klempner, NS-Opfer","01157, 01159",ja,Person real,,,,,,Ufer,Ufer
1337,http://www.wikidata.org/entity/Q96058559,Klingestraße,Point(13.69829 51.03733),,Alfred Klinger,Fabrikbesitzer und Wohltäter,1159,ja,Person real,,,,,,Straße,Straße
2320,http://www.wikidata.org/entity/Q96001138,Heidelberger Straße,Point(13.69849 51.01049),http://www.wikidata.org/entity/Q2966,Heidelberg,"Großstadt in Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
3194,,Wilhelmine-Kähler-Straße,Point(13.6984952 51.0773131),,Wilhelmine Kähler,"Gewerschafterin, Politikerin, Frauenrechtlerin",1139,ja,Person real,,,,,,Straße,Straße
788,http://www.wikidata.org/entity/Q72661821,Badweg,Point(13.698584 51.039113),http://www.wikidata.org/entity/Q123145332,Volksbad Löbtau,"Ehemalige Badeanstalt (»Oeffentliche Brauseanstalt«) in Dresden Löbtau, heute Kindergarten.",1159,ja,Bauwerk/Infrastruktur,,,,,,Weg,Weg
3195,,Friedrich-Findeisen-Straße,Point(13.6986354 51.0765527),,Friedrich Findeisen,Gutsbesitzer und Gemeindevorstand in Kaditz,1139,ja,Person real,,,,,,Straße,Straße
343,http://www.wikidata.org/entity/Q72661322,Am Hohen Stein,Point(13.69911 51.01879),http://www.wikidata.org/entity/Q1623941,Hoher Stein,Felsen mit einem Aussichtsturm oberhalb des Plauenschen Grundes im Dresdner Stadtteil Plauen,1189,ja,weitere Geografika,Berg,,,,,Sonstige,Sonstige
1418,http://www.wikidata.org/entity/Q66587129,Rethelstraße,Point(13.699168 51.072441),http://www.wikidata.org/entity/Q67036,Alfred Rethel,deutscher Historienmaler,1139,ja,Person real,,,,,,Straße,Straße
2511,http://www.wikidata.org/entity/Q99396526,Mainzer Straße,Point(13.69921 51.01827),http://www.wikidata.org/entity/Q1720,Mainz,"kreisfreie Landeshauptstadt von Rheinland-Pfalz, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
985,http://www.wikidata.org/entity/Q72662068,Bünaustraße,Point(13.69933 51.03858),http://www.wikidata.org/entity/Q213829,Heinrich von Bünau,deutscher Staatsmann und Historiker,1159,ja,Person real,,,,,,Straße,Straße
1680,http://www.wikidata.org/entity/Q99397151,Schillingplatz,Point(13.699377 51.042318),http://www.wikidata.org/entity/Q314567,Johannes Schilling,deutscher Bildhauer,1159,ja,Person real,,,,,,Platz,Platz
2581,http://www.wikidata.org/entity/Q66587537,Altübigau,Point(13.699458 51.071421),http://www.wikidata.org/entity/Q8955,Übigau,"Stadtteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1139,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
424,http://www.wikidata.org/entity/Q67311527,An der Dürren Heide,Point(13.699486 51.094612),,,,1139,ja,weitere Geografika,Flurname,,,,,Heide,Sonstige
1066,http://www.wikidata.org/entity/Q99250336,Bünauplatz,Point(13.69949 51.04077),http://www.wikidata.org/entity/Q213829,Heinrich von Bünau,deutscher Staatsmann und Historiker,1159,nein,Person real,,,,,,Platz,Platz
564,http://www.wikidata.org/entity/Q66615333,An der Elbaue,Point(13.699506 51.078947),http://www.wikidata.org/entity/Q1644,Elbe,mitteleuropäischer Strom zur Nordsee in Tschechien und Deutschland,1139,ja,weitere Geografika,Gewässer,,,,,Sonstige,Sonstige
