ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
323,http://www.wikidata.org/entity/Q72661498,Am Steinhübel,Point(13.58769 51.05039),http://www.wikidata.org/entity/Q30605972,Steinhübel,Berg in Sachsen,1156,ja,weitere Geografika,Berg,,,,,Sonstige,Sonstige
523,http://www.wikidata.org/entity/Q72661559,Am Wetterbusch,Point(13.58817 51.05431),,,,1156,ja,weitere Geografika,Flurname,,,,,Sonstige,Sonstige
2463,http://www.wikidata.org/entity/Q99396213,Kaufbacher Weg,Point(13.58943 51.05824),http://www.wikidata.org/entity/Q1736992,Kaufbach (Wilsdruff),Ortsteil von Wilsdruff,1156,nein,Ort,,,,,,Weg,Weg
2460,http://www.wikidata.org/entity/Q99396166,Hühndorfer Weg,Point(13.59043 51.05916),http://www.wikidata.org/entity/Q1246074,Hühndorf (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Weg,Weg
2478,http://www.wikidata.org/entity/Q99397600,Weistropper Weg,Point(13.591181 51.065626),http://www.wikidata.org/entity/Q1634399,Weistropp (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Weg,Weg
616,http://www.wikidata.org/entity/Q72661457,Am Schreiberbach,Point(13.591439 51.060172),,,,1156,ja,weitere Geografika,Gewässer,,,,,Sonstige,Sonstige
582,http://www.wikidata.org/entity/Q99397431,Teichweg,Point(13.592922 51.055958),,,,1156,nein,weitere Geografika,Gewässer,,,,,Weg,Weg
100,http://www.wikidata.org/entity/Q72661052,Alte Poststraße,Point(13.595241 51.047212),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Straße,Straße
2703,http://www.wikidata.org/entity/Q99397473,Unkersdorfer Landstraße,Point(13.596689 51.072582),http://www.wikidata.org/entity/Q110653,Unkersdorf,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
3024,http://www.wikidata.org/entity/Q72662233,Drei-Häuser-Weg,Point(13.59802 51.04326),,,,1156,ja,Sonstige,,,,,,Weg,Weg
534,http://www.wikidata.org/entity/Q99397174,Schwarmweg,Point(13.598468 51.058236),,,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
3213,,Fuchslochweg,Point(13.5991863 51.0782137),,Flur,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
452,http://www.wikidata.org/entity/Q99397461,Tännichtgrundstraße,Point(13.599618 51.091707),,,,1156,ja,weitere Geografika,Tal,,,,,Straße,Straße
2477,http://www.wikidata.org/entity/Q99397599,Weistropper Straße (CB),Point(13.600924 51.094527),http://www.wikidata.org/entity/Q1634399,Weistropp (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Straße,Sonstige
1955,http://www.wikidata.org/entity/Q72662499,Fünf-Brüder-Weg,Point(13.60202 51.08201),,5 Edelkastanien,,1156,nein,Natur,Pflanze,,,,,Weg,Weg
1389,http://www.wikidata.org/entity/Q99396629,Max-Schwan-Straße,Point(13.60205 51.08098),,Max Schwan,Schulleiter und Ortschronist in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
400,http://www.wikidata.org/entity/Q72661196,Am Burgberg,Point(13.60222 51.09002),http://www.wikidata.org/entity/Q58194209,Burgberg Niederwartha,Abgegangene slawische Befestigungsanlage,1156,ja,Burg,,,,,,Berg,Sonstige
2697,http://www.wikidata.org/entity/Q99397327,Steinbacher Grundstraße,Point(13.6025 51.04926),http://www.wikidata.org/entity/Q1668480,Steinbach (Dresden),Ortsteil der Stadt Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
1382,http://www.wikidata.org/entity/Q100135993,Fritz-Arndt-Platz,Point(13.60252 51.07787),,Fritz Arndt,Besitzer des Klostergutes und Initiator einer modernen Dorfgestaltung,1156,ja,Person real,,,,,,Platz,Platz
1363,http://www.wikidata.org/entity/Q99395915,Gustav-Voigt-Straße,Point(13.60274 51.07914),,Gustav Voigt,Gemeindevorstand und Ehrenbürger in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
146,http://www.wikidata.org/entity/Q99396860,Zur Schäferei,Point(13.603398 51.076549),,,,1156,ja,Gewerbe/Industrie,,,,,,Sonstige,Sonstige
2809,http://www.wikidata.org/entity/Q99396811,Oberwarthaer Straße,Point(13.60357 51.08955),http://www.wikidata.org/entity/Q1674903,Oberwartha,"Ortschaft der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
1399,http://www.wikidata.org/entity/Q99397109,Rudolf-Förster-Straße,Point(13.6039 51.07782),,Rudolf Förster,Bürgermeister in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
408,http://www.wikidata.org/entity/Q72662458,Friedensallee,Point(13.60426 51.08656),,,,1156,nein,Ereignis,,,,,,Allee,Allee
127,http://www.wikidata.org/entity/Q72661263,Am Fährhaus,Point(13.60458 51.09402),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Sonstige,Sonstige
3222,,Niederwarthaer Brücke,Point(13.604777 51.0963283),,Niederwartha,,1156,ja,Ort,Stadtteil,,,,,Brücke,Brücke
1372,http://www.wikidata.org/entity/Q99396047,Hermann-Große-Straße,Point(13.60514 51.09164),,Hermann Große,Gemeindevorstand von Niederwartha,1156,ja,Person real,,,,,,Straße,Straße
3187,http://www.wikidata.org/entity/Q99397176,Schwarzer Weg,Point(13.605449 51.081955),,,,1156,nein,Unbekannt,,,,,,Weg,Weg
2774,http://www.wikidata.org/entity/Q99397723,Wurgwitzer Landstraße,Point(13.60546 51.03421),http://www.wikidata.org/entity/Q6392,Wurgwitz,Stadtteil von Freital,1156,ja,Ort,,,,,,Straße,Straße
2714,http://www.wikidata.org/entity/Q99395904,Grunaweg,Point(13.60547 51.09187),http://www.wikidata.org/entity/Q95622682,Gruna (Dresden),Ortswüstung in Niederwartha,1156,ja,Ort,Wüstung,,,,,Weg,Weg
2704,http://www.wikidata.org/entity/Q99397474,Unkersdorfer Weg,Point(13.605533 51.065293),http://www.wikidata.org/entity/Q110653,Unkersdorf,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Weg,Weg
122,http://www.wikidata.org/entity/Q99396485,Lochmühlenweg,Point(13.606591 51.075691),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Weg,Weg
1613,http://www.wikidata.org/entity/Q72662471,Friedrich-August-Straße,Point(13.60669 51.08999),http://www.wikidata.org/entity/Q57320,Friedrich August III.,letzter König von Sachsen,1156,ja,Person real,,,,,,Straße,Straße
3155,http://www.wikidata.org/entity/Q99396163,Hässige Straße,Point(13.60677 51.07974),,,,1156,nein,Unbekannt,,,,,,Straße,Straße
3217,,Katzensprung,Point(13.6069899 51.0784355),,,,1156,nein,Abstrakta,,,,,,Sonstige,Sonstige
1312,http://www.wikidata.org/entity/Q92206191,Dorotheenstraße (OW),Point(13.607096 51.082485),,Dorothee Arndt,"Tochter des Klostergutsbesitzers Fritz Arndt, Erbauer der Straße",1156,ja,Person real,,,,,,Straße,Sonstige
2849,http://www.wikidata.org/entity/Q99397014,Roitzscher Dorfstraße,Point(13.6072 51.0534),http://www.wikidata.org/entity/Q2162510,Roitzsch,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
447,http://www.wikidata.org/entity/Q99397292,Silbertalweg,Point(13.60773 51.06916),,,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
958,http://www.wikidata.org/entity/Q99396401,Liebknechtstraße,Point(13.60774 51.08128),http://www.wikidata.org/entity/Q75886,Karl Liebknecht,"deutscher Politiker (SPD/KPD), MdR",1156,nein,Person real,,,,,,Straße,Straße
638,http://www.wikidata.org/entity/Q99397321,Stauseeweg,Point(13.60831 51.06929),http://www.wikidata.org/entity/Q123146192,Stausee Oberwartha,oberes Speicherbecken des Pumpspeicherwerks Niederwartha in Dresden,1156,ja,weitere Geografika,Gewässer,,,,,Weg,Weg
2850,http://www.wikidata.org/entity/Q99397015,Roitzscher Landstraße,Point(13.6085 51.0562),http://www.wikidata.org/entity/Q2162510,Roitzsch,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
669,http://www.wikidata.org/entity/Q72661657,An der Kümmelschenke,Point(13.60888 51.0348),,,,1156,ja,Gewerbe/Industrie,Gasthaus,,,,,Sonstige,Sonstige
2005,http://www.wikidata.org/entity/Q99397621,Wiesenweg (CB),Point(13.609786 51.08052),,,,1156,nein,Natur,Pflanze,,,,,Straße,Sonstige
2781,http://www.wikidata.org/entity/Q99755914,Zöllmener Landstraße,Point(13.610075 51.033712),http://www.wikidata.org/entity/Q247778,Zöllmen,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
508,http://www.wikidata.org/entity/Q72661404,Am Mühlberg,Point(13.61015 51.04749),,,,1157,ja,weitere Geografika,Flurname,,,,,Berg,Sonstige
640,http://www.wikidata.org/entity/Q99396497,Lotzebachstraße,Point(13.610188 51.073731),http://www.wikidata.org/entity/Q84182789,Lotzebach,linker Zufluss der Elbe im Westen der sächsischen Landeshauptstadt Dresden,1156,ja,weitere Geografika,Gewässer,,,,,Straße,Straße
345,http://www.wikidata.org/entity/Q72661414,Am Osterberg,Point(13.61032 51.08341),http://www.wikidata.org/entity/Q115611875,Osterberg,Hügel im Westen der Stadt Dresden,1156,ja,weitere Geografika,Berg,,,,,Berg,Sonstige
2026,http://www.wikidata.org/entity/Q72661223,Am Erlengrund,Point(13.61073 51.04237),http://www.wikidata.org/entity/Q25239,Erlen,Gattung der Familie Birkengewächse (Betulaceae),1156,ja,Natur,Pflanze,,,,,Grund,Sonstige
2088,http://www.wikidata.org/entity/Q61482518,Meißner Straße,Point(13.611175 51.089535),http://www.wikidata.org/entity/Q8738,Meißen,"Große Kreisstadt im Landkreis Meißen, Sachsen, Deutschland",1156,nein,Ort,,,,,,Straße,Straße
1645,http://www.wikidata.org/entity/Q100073973,Albertplatz (CB),Point(13.61158 51.08212),http://www.wikidata.org/entity/Q168657,Albert von Sachsen,König von Sachsen,1156,ja,Person real,,,,,,Platz,Sonstige
3111,http://www.wikidata.org/entity/Q72661584,Amselgrund,Point(13.61257 51.08834),,,,1156,ja,weitere Geografika,Tal,,,,,Grund,Sonstige
787,http://www.wikidata.org/entity/Q99397250,Schützenstraße,Point(13.614331 51.071092),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Straße,Straße
3201,,Am Rausch,Point(13.6143977 51.0750987),,Flurname,,1156,ja,weitere Geografika,,,,,,Sonstige,Sonstige
2835,http://www.wikidata.org/entity/Q99396992,Rennersdorfer Hauptstraße,Point(13.61496 51.07015),http://www.wikidata.org/entity/Q1448972,Rennersdorf,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
778,http://www.wikidata.org/entity/Q99396853,Parkweg,Point(13.61592 51.08418),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Weg,Weg
1134,http://www.wikidata.org/entity/Q72661946,Bischof-Benno-Weg,Point(13.61646 51.08217),http://www.wikidata.org/entity/Q61625,Benno von Meißen,"Heiliger, Bischof von Meißen",1156,nein,Person real,,,,,,Weg,Weg
516,http://www.wikidata.org/entity/Q72661480,Am Spitzberg,Point(13.616541 51.084798),,,,1156,ja,weitere Geografika,Flurname,,,,,Berg,Sonstige
3120,http://www.wikidata.org/entity/Q72662605,Gnomenstieg,Point(13.617223 51.084364),,,,1156,nein,Unbekannt,,,,,,Stieg,Stieg
2948,http://www.wikidata.org/entity/Q99397574,Waldblick,Point(13.617715 51.045062),,,,1156,ja,Natur,Pflanze,,,,,Blick,Sonstige
9,http://www.wikidata.org/entity/Q100936663,Jammertal,Point(13.618175 51.041565),,,,1156,nein,Abstrakta,,,,,,Tal,Sonstige
7,http://www.wikidata.org/entity/Q99397611,Zum Jammertal,Point(13.618624 51.043327),,,,1156,nein,Abstrakta,,,,,,Tal,Sonstige
501,http://www.wikidata.org/entity/Q99396684,Mühlwiesenweg,Point(13.61912 51.04494),http://www.wikidata.org/entity/Q1434274,Flurname,Bezeichnung eines kleinräumigen Landschaftsteils,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
383,http://www.wikidata.org/entity/Q99397595,Weinbergstraße (CB),Point(13.61926 51.08379),,,,1156,nein,Gewerbe/Industrie,,,,,,Straße,Sonstige
2817,http://www.wikidata.org/entity/Q99396862,Pennricher Feldrain,Point(13.62021 51.04251),http://www.wikidata.org/entity/Q1434274,Pennrich,Bezeichnung eines kleinräumigen Landschaftsteils,1156,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
736,http://www.wikidata.org/entity/Q72662466,Friedhofsweg (CB),Point(13.62022 51.07828),,,,1156,ja,Bauwerk/Infrastruktur,religiös,religiös,,,,Weg,Sonstige
2945,http://www.wikidata.org/entity/Q115251811,Hangweg,Point(13.620522 51.087184),,,,1156,ja,weitere Geografika,Berg,,,,,Weg,Weg
3115,http://www.wikidata.org/entity/Q72661579,Am Zschonergrund,Point(13.62109 51.04478),http://www.wikidata.org/entity/Q227269,Zschonergrund,Landschaftsschutzgebiet in Dresden,1156,ja,weitere Geografika,Tal,,,,,Grund,Sonstige
2784,http://www.wikidata.org/entity/Q100396017,Dorfplatz-Brabschütz,Point(13.621275 51.070001),http://www.wikidata.org/entity/Q896514,Brabschütz,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
481,http://www.wikidata.org/entity/Q99756361,Zum Schwarm,Point(13.621433 51.065417),,,,1156,ja,weitere Geografika,Flurname,,,,,Sonstige,Sonstige
527,http://www.wikidata.org/entity/Q72661619,An den Winkelwiesen,Point(13.621746 51.087998),,,,1156,ja,weitere Geografika,Flurname,,,,,Wiese,Sonstige
2642,http://www.wikidata.org/entity/Q72662159,Cossebauder Weg,Point(13.6226 51.07019),http://www.wikidata.org/entity/Q1117549,Cossebaude,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Weg,Weg
2931,http://www.wikidata.org/entity/Q99397421,Talstraße (CB),Point(13.6227 51.08096),,,,1156,ja,weitere Geografika,Tal,,,,,Straße,Sonstige
386,http://www.wikidata.org/entity/Q72661302,Am Hegereiter,Point(13.62303 51.08523),,,,1156,ja,Beruf/Funktion,,,,,,Sonstige,Sonstige
2828,http://www.wikidata.org/entity/Q99396950,Podemuser Straße,Point(13.62324 51.0451),http://www.wikidata.org/entity/Q2100231,Podemus,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
2953,http://www.wikidata.org/entity/Q99396344,Krumme Gasse,Point(13.6233 51.08267),,,,1156,nein,Selbstreferenziell,,,,,,Gasse,Gasse
2924,http://www.wikidata.org/entity/Q99397301,Sonnenleite (CB),Point(13.62342 51.08379),,,,1156,nein,Abstrakta,,,,,,Sonstige,Sonstige
2064,http://www.wikidata.org/entity/Q99397021,Rosenstraße (CB),Point(13.62363 51.08838),,,,1156,nein,Natur,Pflanze,,,,,Straße,Sonstige
2820,http://www.wikidata.org/entity/Q99396866,Pennricher Weg,Point(13.62414 51.06014),http://www.wikidata.org/entity/Q8967,Pennrich,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Weg,Weg
112,http://www.wikidata.org/entity/Q100936578,Brunnenweg (CB),Point(13.62459 51.07896),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Weg,Sonstige
1545,http://www.wikidata.org/entity/Q99396471,Erna-Berger-Straße (CB),Point(13.62462 51.08865),http://www.wikidata.org/entity/Q289895,Erna Berger,deutschen Sopranistin,1156,ja,Person real,,,,,,Straße,Sonstige
385,http://www.wikidata.org/entity/Q99397648,Winzerstraße (CB),Point(13.62517 51.08492),,,,1156,nein,Beruf/Funktion,,,,,,Straße,Sonstige
982,http://www.wikidata.org/entity/Q72660998,Albrechtshöhe,Point(13.62529 51.08051),http://www.wikidata.org/entity/Q560806,Albrecht der Beherzte,"Herzog v. Sachsen, Begründer der albertinischen, später königlich-sächsischen Linie, Herzog v. Sagan",1156,ja,Person real,,,,,,Höhe,Sonstige
1878,http://www.wikidata.org/entity/Q99396833,Oskar-Maune-Straße,Point(13.62533 51.04118),,Oskar Maune,"Gutsbesitzer, Bürgermeister in Pennrich",1156,ja,Person real,,,,,,Straße,Straße
2818,http://www.wikidata.org/entity/Q99396863,Pennricher Höhe,Point(13.62575 51.03909),http://www.wikidata.org/entity/Q8967,Pennrich,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Höhe,Sonstige
2826,http://www.wikidata.org/entity/Q99396948,Podemuser Hauptstraße,Point(13.62652 51.06064),http://www.wikidata.org/entity/Q2100231,Podemus,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
2755,http://www.wikidata.org/entity/Q72661131,Altpodemus,Point(13.62715 51.06057),http://www.wikidata.org/entity/Q2100231,Podemus,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
2457,http://www.wikidata.org/entity/Q72661120,Altnossener Straße,Point(13.62788 51.04375),http://www.wikidata.org/entity/Q8751,Nossen,"Stadt im Landkreis Meißen, Sachsen, Deutschland",1156,nein,Ort,,,,,,Straße,Straße
2786,http://www.wikidata.org/entity/Q100936577,Brabschützer Straße (CB),Point(13.628393 51.077428),http://www.wikidata.org/entity/Q896514,Brabschütz,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Sonstige
2827,http://www.wikidata.org/entity/Q99396949,Podemuser Ring,Point(13.62851 51.06095),http://www.wikidata.org/entity/Q2100231,Podemus,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Ring,Ring
417,http://www.wikidata.org/entity/Q90134293,Eichbergstraße (CB),Point(13.628646 51.082507),,,,1156,ja,weitere Geografika,Flurname,,,,,Straße,Sonstige
2936,http://www.wikidata.org/entity/Q99395948,Hauptstraße (CB),Point(13.628684 51.087021),,,,1156,ja,Sonstige,,,,,,Straße,Sonstige
360,http://www.wikidata.org/entity/Q72661992,Brauergasse,Point(13.62919 51.08668),,,,1156,nein,Beruf/Funktion,,,,,,Gasse,Gasse
303,http://www.wikidata.org/entity/Q99397715,Bergstraße (CB),Point(13.62937 51.08413),,,,1156,ja,weitere Geografika,Berg,,,,,Straße,Sonstige
300,http://www.wikidata.org/entity/Q99397486,Zum Schmiedeberg,Point(13.629467 51.04222),,,,1156,ja,weitere Geografika,Berg,,,,,Berg,Sonstige
362,http://www.wikidata.org/entity/Q72662074,Bäckerweg,Point(13.63025 51.04315),http://www.wikidata.org/entity/Q160131,Bäcker,"Handwerker, welcher Brot, Brötchen, Kleingebäck und feine Backwaren herstellt",1156,nein,Beruf/Funktion,,,,,,Weg,Weg
381,http://www.wikidata.org/entity/Q99395922,Gärtnerweg,Point(13.630257 51.042505),http://www.wikidata.org/entity/Q758780,Gärtner,"Person, die Gartenbau als Beruf oder als Hobby ausübt",1156,nein,Beruf/Funktion,,,,,,Weg,Weg
2785,http://www.wikidata.org/entity/Q100693597,Gohliser Straße (CB),Point(13.630307 51.088804),,Gohlis (Dresden),,1156,ja,Ort,Stadtteil,,,,,Straße,Sonstige
157,http://www.wikidata.org/entity/Q99397168,Schulstraße (CB),Point(13.63085 51.08637),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Straße,Sonstige
318,http://www.wikidata.org/entity/Q99396805,Obere Bergstraße,Point(13.63138 51.08307),,,,1156,ja,weitere Geografika,Berg,,,,,Straße,Straße
1059,http://www.wikidata.org/entity/Q99396361,Käthe-Kollwitz-Straße (CB),Point(13.6321 51.086),http://www.wikidata.org/entity/Q142472,Käthe Kollwitz,deutsche Künstlerin (1867–1945),1156,nein,Person real,,,,,,Straße,Sonstige
2681,http://www.wikidata.org/entity/Q99395884,Gompitzer Wirtschaftsweg,Point(13.63212 51.04368),http://www.wikidata.org/entity/Q1536934,Gompitz,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Weg,Weg
1119,http://www.wikidata.org/entity/Q100145357,Bismarckplatz,Point(13.63235 51.08655),http://www.wikidata.org/entity/Q8442,Otto von Bismarck,deutscher Politiker und Staatsmann,1156,nein,Person real,,,,,,Platz,Platz
2958,http://www.wikidata.org/entity/Q72661276,Am Graben,Point(13.632394 51.041719),,,,1156,ja,weitere Geografika,Gewässer,,,,,Sonstige,Sonstige
2472,http://www.wikidata.org/entity/Q99396326,Kohlsdorfer Weg,Point(13.632398 51.034703),http://www.wikidata.org/entity/Q1652541,Kohlsdorf (Freital),Ortsteil von Freital,1156,nein,Ort,,,,,,Weg,Weg
2680,http://www.wikidata.org/entity/Q99395880,Gompitzer Höhe,Point(13.632518 51.039452),http://www.wikidata.org/entity/Q1536934,Gompitz,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Höhe,Sonstige
1907,http://www.wikidata.org/entity/Q89394580,Am Kirschberg (CB),Point(13.63252 51.08239),,,,1156,ja,Natur,Pflanze,,,,,Berg,Sonstige
2939,http://www.wikidata.org/entity/Q99396031,Grenzstraße (CB),Point(13.6328 51.08894),,,,1156,ja,Sonstige,,,,,,Straße,Sonstige
1088,http://www.wikidata.org/entity/Q99395871,August-Bebel-Straße (CB),Point(13.63305 51.08641),http://www.wikidata.org/entity/Q76520,August Bebel,"deutscher sozialistischer Politiker und Mitbegründer der SPD, MdR, Führer der Sozialismus/Kommunismus",1156,ja,Person real,,,,,,Straße,Sonstige
2679,http://www.wikidata.org/entity/Q99395879,Gompitzer Hang,Point(13.63315 51.04224),http://www.wikidata.org/entity/Q1536934,Gompitz,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Hang,Sonstige
2724,http://www.wikidata.org/entity/Q72661021,Alt-Leuteritzer Ring,Point(13.63336 51.07419),http://www.wikidata.org/entity/Q432952,Alt-Leuteritz,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Ring,Ring
1067,http://www.wikidata.org/entity/Q99396028,Heinrich-Mann-Straße (CB),Point(13.63392 51.08693),http://www.wikidata.org/entity/Q76480,Heinrich Mann,deutscher Schriftsteller,1156,ja,Person real,,,,,,Straße,Sonstige
3080,http://www.wikidata.org/entity/Q99396806,Oberlandstraße,Point(13.63425 51.06997),,,,1156,nein,Sonstige,,,,,,Straße,Straße
1400,http://www.wikidata.org/entity/Q99397116,Rudolf-Walther-Straße,Point(13.63428 51.036931),,Rudolf Walther,Gründer der Möbel Walther AG sowie der Rudolf-Walther-Stiftung und Träger des Bundesverdienstordens,1156,nein,Person real,,,,,,Straße,Straße
2819,http://www.wikidata.org/entity/Q99396864,Pennricher Ring,Point(13.634362 51.040911),http://www.wikidata.org/entity/Q8967,Pennrich,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Ring,Ring
209,http://www.wikidata.org/entity/Q99396848,Bahnhofstraße (CB),Point(13.6347 51.08493),http://www.wikidata.org/entity/Q59769900,Bahnhof Cossebaude,Bahnhof in Dresden,1156,ja,Bauwerk/Infrastruktur,,,,,,Straße,Sonstige
475,http://www.wikidata.org/entity/Q100936930,Zschonergrund,Point(13.634836 51.058467),http://www.wikidata.org/entity/Q227269,Zschonergrund,Landschaftsschutzgebiet in Dresden,1156,ja,weitere Geografika,Tal,,,,,Grund,Sonstige
1174,http://www.wikidata.org/entity/Q99397149,Schillerstraße (CB),Point(13.635204 51.089816),http://www.wikidata.org/entity/Q22670,Friedrich Schiller,"deutscher Dichter, Philosoph und Historiker",1156,ja,Person real,,,,,,Straße,Sonstige
1068,http://www.wikidata.org/entity/Q99396394,Breitscheidstraße (CB),Point(13.63521 51.08283),http://www.wikidata.org/entity/Q70890,Rudolf Breitscheid,"deutscher Politiker (DV, SPD, USPD), MdR (1874–1944)",1156,nein,Person real,,,,,,Straße,Sonstige
784,http://www.wikidata.org/entity/Q72661683,An der Reitanlage,Point(13.63558 51.04391),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Sonstige,Sonstige
3025,http://www.wikidata.org/entity/Q72662182,Daheimweg,Point(13.63579 51.0803),,,,1156,ja,Sonstige,,,,,,Weg,Weg
2862,http://www.wikidata.org/entity/Q99397181,Cossebauder Straße (CB),Point(13.63585 51.09099),http://www.wikidata.org/entity/Q1117549,Cossebaude,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Sonstige
955,http://www.wikidata.org/entity/Q99396328,Kolpingstraße,Point(13.63633 51.09053),http://www.wikidata.org/entity/Q15448837,Adolf Kolping,deutscher katholischer Theologe sowie Hochschullehrer,1156,nein,Person real,,,,,,Straße,Straße
1386,http://www.wikidata.org/entity/Q99396509,Ludwigstraße (CB),Point(13.63636 51.08683),,Johannes Ludewig,bekannt durch Schrift „der gelehrte Bauer“,1156,ja,Person real,,,,,,Straße,Sonstige
99,http://www.wikidata.org/entity/Q100936929,Ziegeleiweg,Point(13.636433 51.07882),,,,1156,ja,Gewerbe/Industrie,,,,,,Weg,Weg
710,http://www.wikidata.org/entity/Q72662570,Gewerbepark,Point(13.63645 51.0678),,,,1156,ja,Gewerbe/Industrie,,,,,,Park,Sonstige
2014,http://www.wikidata.org/entity/Q100936580,Dahlienweg (CB),Point(13.636563 51.090075),http://www.wikidata.org/entity/Q130918,Dahlien,Gattung der Familie Korbblütler (Asteraceae),1156,nein,Natur,Pflanze,,,,,Weg,Sonstige
1908,http://www.wikidata.org/entity/Q90480070,Asternweg (CB),Point(13.63666 51.091024),http://www.wikidata.org/entity/Q517130,Astern,Gattung der Familie Korbblütler (Asteraceae),1156,nein,Natur,Pflanze,,,,,Weg,Sonstige
98,http://www.wikidata.org/entity/Q100936807,Postweg,Point(13.637102 51.073385),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Weg,Weg
3147,http://www.wikidata.org/entity/Q99396082,Hohlweg,Point(13.63712 51.04469),,,,1156,nein,Unbekannt,,,,,,Weg,Weg
3077,http://www.wikidata.org/entity/Q99396792,Zur Bachwiese,Point(13.637163 51.054233),,,,1156,ja,Natur,Pflanze,,,,,Wiese,Sonstige
663,http://www.wikidata.org/entity/Q99396362,Zur Schmiede,Point(13.637199 51.069452),,,,1156,ja,Gewerbe/Industrie,Gasthaus,,,,,Sonstige,Sonstige
3169,http://www.wikidata.org/entity/Q99396682,Zur Pflaumenhohle,Point(13.637391 51.040463),,,,1156,nein,Unbekannt,,,,,,Sonstige,Sonstige
1884,http://www.wikidata.org/entity/Q99397000,Richard-Bernhardt-Weg,Point(13.63744 51.04205),,Max Richard Bernhardt,Zeichner und Maler in Dresden,1156,ja,Person real,,,,,,Weg,Weg
2733,http://www.wikidata.org/entity/Q72661072,Altfrankener Höhe,Point(13.63748 51.03609),http://www.wikidata.org/entity/Q8888,Altfranken,"Ortschaft der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Höhe,Sonstige
