Straßenname,Ortsname,lat,lon,adresse
Gostritzer Straße,Gostritz,51.0100849,13.7494315,"Gostritz, Plauen, Dresden, Sachsen, 01217, Deutschland"
Wiener Straße,Wien,48.2083537,16.3725042,"Wien, Österreich"
Volkersdorfer Weg,Volkersdorf (Radeburg),51.1468973,13.7403568,"Volkersdorf, Radeburg, Meißen, Sachsen, 01109, Deutschland"
Sebnitzer Straße,Sebnitz,50.97098,14.2727203,"Sebnitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01855, Deutschland"
Pulsnitzer Straße,Pulsnitz,51.1825771,14.0139733,"Pulsnitz, Bautzen - Budyšin, Sachsen, 01896, Deutschland"
Rähnitzer Straße,Rähnitz,51.1189656,13.7371476,"Rähnitz, Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Schönfelder Straße,Schönfeld (Dresden),51.0337041,13.8948846,"Schönfeld, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Kamenzer Straße,Kamenz,51.270139,14.0948628,"Kamenz - Kamjenc, Bautzen - Budyšin, Sachsen, Deutschland"
Golberoder Straße,Golberode (Bannewitz),50.9837891,13.7521794,"Golberode, Bannewitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01728, Deutschland"
Zschertnitzer Straße,Zschertnitz,51.022299,13.7452947,"Zschertnitz, Plauen, Dresden, Sachsen, 01217, Deutschland"
Kreischaer Straße,Kreischa,50.9453729,13.7601024,"Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Bärenklauser Straße,Bärenklause,50.968738,13.7657138,"Bärenklause, Babisnau, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Marsdorfer Straße,Marsdorf,51.1630719,13.7681898,"Marsdorf, Dresden, Sachsen, 01108, Deutschland"
Mockritzer Straße,Mockritz,51.0148803,13.7417152,"Mockritz, Plauen, Dresden, Sachsen, 01217, Deutschland"
Bischofswerder Straße,Bischofswerda,51.1277815,14.1795516,"Bischofswerda, Bautzen - Budyšin, Sachsen, 01877, Deutschland"
Kleincarsdorfer Straße,Kleincarsdorf (Kreischa),50.9532501,13.7309516,"Kleincarsdorf, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Hohnsteiner Straße,Hohnstein,50.9797836,14.1111221,"Hohnstein, Sächsische Schweiz-Osterzgebirge, Sachsen, 01848, Deutschland"
Gombsener Straße,Gombsen (Kreischa),50.9522363,13.7790629,"Gombsen, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Altklotzsche,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Königsbrücker Straße,Königsbrück,51.2637467,13.9028337,"Königsbrück, Bautzen - Budyšin, Sachsen, 01936, Deutschland"
Lockwitzer Straße,Lockwitz,50.9872806,13.8062434,"Lockwitz, Prohlis, Dresden, Sachsen, 01257, Deutschland"
Klotzscher Weg,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Burgstädteler Straße,Burgstädtel (Dohna),50.9704539,13.7929057,"Burgstädtel, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01239, Deutschland"
Neuostra,Neuostra,51.0148482,13.7644117,"Neuostra, Leubnitz-Neuostra, Prohlis, Dresden, Sachsen, 01219, Deutschland"
Wilmsdorfer Straße,Wilmsdorf (Bannewitz),50.9691523,13.7061705,"Wilmsdorf, Bannewitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01728, Deutschland"
Striesener Straße,Striesen,51.0434696,13.7860506,"Striesen, Blasewitz, Dresden, Sachsen, 01309, Deutschland"
Stolpener Straße,Stolpen,51.0492329,14.0830003,"Stolpen, Sächsische Schweiz-Osterzgebirge, Sachsen, 01833, Deutschland"
Klotzscher Berglehne,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Leubnitzer Höhe,Leubnitz,50.5142923,12.0186499,"Leubnitz, Rosenbach/Vogtland, Vogtlandkreis, Sachsen, 08539, Deutschland"
Goppelner Straße,Goppeln,50.9890185,13.7602835,"Goppeln, Bannewitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01219, Deutschland"
Altleubnitz,Leubnitz,50.5142923,12.0186499,"Leubnitz, Rosenbach/Vogtland, Vogtlandkreis, Sachsen, 08539, Deutschland"
Löbauer Straße,Löbau,51.0947288,14.6692423,"Löbau, Görlitz, Sachsen, 02708, Deutschland"
Medinger Straße,Medingen (Ottendorf-Okrilla),51.1831197,13.7908409,"Medingen, Ottendorf-Okrilla, Bautzen - Budyšin, Sachsen, 01458, Deutschland"
Zittauer Straße,Zittau,50.8960964,14.8064807,"Zittau, Bertsdorf-Hörnitz, Görlitz, Sachsen, Deutschland"
Boltenhagener Straße,Boltenhagen,53.9864246,11.205923,"Boltenhagen, Klützer Winkel, Nordwestmecklenburg, Mecklenburg-Vorpommern, 23946, Deutschland"
Bautzner Straße,Bautzen,51.1809132,14.4276003,"Bautzen, Bautzen - Budyšin, Sachsen, 02625, Deutschland"
Saalfelder Straße,Saalfeld/Saale,50.6479143,11.3610041,"Saalfeld/Saale, Kamsdorf, Landkreis Saalfeld-Rudolstadt, Thüringen, 07318, Deutschland"
Kauschaer Straße,Kauscha,50.9929409,13.7779251,"Kauscha, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Ahlbecker Straße,Ahlbeck (Heringsdorf),53.9389644,14.1875511,"Ahlbeck, Heringsdorf, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
Bansiner Straße,Bansin (Heringsdorf),53.9690358,14.1391435,"Bansin, Heringsdorf, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17429, Deutschland"
Klotzscher Hauptstraße,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Travemünder Straße,Travemünde (Lübeck),53.939609,10.8587192,"Travemünde, Lübeck, Schleswig-Holstein, 23570, Deutschland"
Lubminer Straße,Lubmin,54.1318409,13.612798,"Lubmin, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
