Straßenname,Ortsname,lat,lon,adresse
Zinnwalder Straße,Zinnwald-Georgenfeld (Altenberg),50.7361363,13.7638353,"Zinnwald-Georgenfeld, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01773, Deutschland"
Altseidnitz,Seidnitz,51.0275953,13.803068,"Seidnitz, Blasewitz, Dresden, Sachsen, 01277, Deutschland"
Boxberger Straße,Boxberg/O.L.,51.3879337,14.58739,"Boxberg/O.L. - Hamor, Görlitz, Sachsen, 02943, Deutschland"
Mügelner Straße,Mügeln (Heidenau),50.9815969,13.8581167,"Heidenau, Güterbahnhofstraße, Gommern, Heidenau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Schmiedeberger Straße,Schmiedeberg (Dippoldiswalde),50.8349379,13.6794256,"Schmiedeberg (Erzgebirge), Naundorf, Dippoldiswalde, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Dobritzer Straße,Dobritz (Dresden),51.0156278,13.811801,"Dobritz, Blasewitz, Dresden, Sachsen, 01257, Deutschland"
Spremberger Straße,Spremberg,51.5714513,14.3804302,"Spremberg, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03130, Deutschland"
Schellerhauer Weg,Schellerhau,50.7709529,13.6941917,"Schellerhau, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Senftenberger Straße,Senftenberg,51.519201,14.0046541,"Senftenberg - Zły Komorow, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, Deutschland"
Maxener Straße,Maxen,50.9251208,13.8016064,"Maxen, Müglitztal, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Altenberger Straße,Altenberg,50.766598,13.7523234,"Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Striesener Weg,Striesen,51.0434696,13.7860506,"Striesen, Blasewitz, Dresden, Sachsen, 01309, Deutschland"
Liebenauer Straße,Liebenau (Altenberg),50.7876039,13.8539649,"Liebenau, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01778, Deutschland"
Röhrsdorfer Straße,Röhrsdorf (Dohna),50.96482,13.8075851,"Röhrsdorf, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01257, Deutschland"
Kipsdorfer Straße,Kipsdorf,50.8041139,13.6754553,"Kipsdorf, Otto-Schmidt-Straße, Oberkipsdorf, Kurort Kipsdorf, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01773, Deutschland"
Altenberger Platz,Altenberg,50.766598,13.7523234,"Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Hellendorfer Straße,Hellendorf (Gottleuba-Berggießhübel),50.8255028,13.968146,"Hellendorf, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01816, Deutschland"
Schlottwitzer Straße,Schlottwitz (Glashütte),50.885238,13.8131561,"Schlottwitz, Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Gersdorfer Weg,Gersdorf (Bahretal),50.879855,13.9098082,"Gersdorf, Bahretal, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01819, Deutschland"
Niedersedlitzer Straße,Niedersedlitz,50.9989308,13.8145926,"Niedersedlitz, Prohlis, Dresden, Sachsen, 01257, Deutschland"
Altfriedersdorf,Friedersdorf (Weixdorf),51.1468455,13.8099642,"Friedersdorf, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Breitenauer Straße,Breitenau ( Bad Gottleuba-Berggießhübel),50.8066175,13.8924364,"Breitenau, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Hausdorfer Straße,Hausdorf (Glashütte),50.9080329,13.7876389,"Hausdorf, Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Altlockwitz,Lockwitz,50.9872806,13.8062434,"Lockwitz, Prohlis, Dresden, Sachsen, 01257, Deutschland"
Mühlbacher Straße,Mühlbach (Müglitztal),50.9129275,13.8169487,"Mühlbach, Müglitztal, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Hermsdorfer Allee,Hermsdorf (Ottendorf-Okrilla),51.1668469,13.8205856,"Hermsdorf, Ottendorf-Okrilla, Bautzen - Budyšin, Sachsen, 01458, Deutschland"
Aussiger Straße,Aussig (Tschechien),50.6603327,14.0381357,"Ústí nad Labem, okres Ústí nad Labem, Ústecký kraj, Severozápad, Česko"
Göppersdorfer Weg,Göppersdorf (Bahretal),50.8612015,13.8913327,"Göppersdorf, Bahretal, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01819, Deutschland"
Dittersdorfer Straße,Dittersdorf (Glashütte),50.8283527,13.8061124,"Dittersdorf, Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Loschwitzer Brücke,Loschwitz,51.0555235,13.8154546,"Loschwitz, Dresden, Sachsen, 01277, Deutschland"
Johnsbacher Weg,Johnsbach (Glashütte),50.8290486,13.7473583,"Johnsbach, Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Friedersdorfer Waldweg,Friedersdorf (Weixdorf),51.1468455,13.8099642,"Friedersdorf, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Altdobritz,Dobritz (Dresden),51.0156278,13.811801,"Dobritz, Blasewitz, Dresden, Sachsen, 01257, Deutschland"
Falkenhainer Straße,Falkenhain (Müglitztal),50.9386498,13.8484037,"Falkenhain, Müglitztal, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Grünberger Straße (WX),Grünberg (Ottendorf-Okrilla),51.1627611,13.8400805,"Grünberg, Ottendorf-Okrilla, Bautzen - Budyšin, Sachsen, Deutschland"
Bornaer Weg,Borna,51.1241649,12.4999055,"Borna, Landkreis Leipzig, Sachsen, 04552, Deutschland"
Berthelsdorfer Weg,Berthelsdorf (Liebstadt),50.8566468,13.8393874,"Berthelsdorf, Liebstadt, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01825, Deutschland"
Wölkauer Straße,Wölkau (Heidenau),50.9739442,13.8309315,"Wölkau, Heidenau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Berggießhübler Straße,Berggießhübel (Bad Gottleuba-Berggießhübel),50.8737844,13.9480113,"Berggießhübel, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01816, Deutschland"
Lausaer Höhe,Lausa (Dresden),51.1518301,13.8069105,"Lausa, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Friedrichswalder Straße,Friedrichswalde (Bahretal),50.8996526,13.9056099,"Friedrichswalde, Bahretal, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01819, Deutschland"
Markersbacher Weg,Markersbach (Bad Gottleuba-Berggießhübel),50.8382842,13.9857526,"Markersbach, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01816, Deutschland"
Löwenhainer Straße,Löwenhain,50.7614478,13.8202129,"Löwenhain, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01778, Deutschland"
Neudobritzer Weg,Dobritz (Dresden),51.0156278,13.811801,"Dobritz, Blasewitz, Dresden, Sachsen, 01257, Deutschland"
Reichenauer Weg,Reichenau (Hartmannsdorf-Reichenau),50.7946809,13.5786469,"Reichenau, Hartmannsdorf-Reichenau, Klingenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01762, Deutschland"
Köttewitzer Straße,Köttewitz,50.9388909,13.8723513,"Köttewitz, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Jessener Straße,Jessen (Pirna),50.991008,13.9459917,"Jessen, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Dobritzer Weg,Dobritz (Dresden),51.0156278,13.811801,"Dobritz, Blasewitz, Dresden, Sachsen, 01257, Deutschland"
Kleinborthener Straße,Kleinborthen (Borthen),,,
Helfenberger Straße,Helfenberg (Dresden),51.0371873,13.8651519,"Helfenberg, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Tolkewitzer Straße,Tolkewitz,51.0319811,13.8223508,"Tolkewitz, Blasewitz, Dresden, Sachsen, 01279, Deutschland"
Wehlener Straße,Stadt Wehlen,50.957091,14.0307534,"Wehlen, Lohmen/Stadt Wehlen, Sächsische Schweiz-Osterzgebirge, Sachsen, 01829, Deutschland"
Marienberger Straße,Marienberg,50.6507279,13.163188,"Marienberg, Erzgebirgskreis, Sachsen, 09496, Deutschland"
Gommernsche Straße,Gommern (Heidenau),50.9815969,13.8581167,"Heidenau, Güterbahnhofstraße, Gommern, Heidenau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Niederseidewitzer Weg,Niederseidewitz (Bahretal),50.9214318,13.9033417,"Niederseidewitz, Bahretal, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01819, Deutschland"
Crottendorfer Straße,Crottendorf,50.5169333,12.947132,"Crottendorf, Erzgebirgskreis, Sachsen, 09474, Deutschland"
Radeberger Weg,Radeberg,51.1151413,13.9175257,"Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Lengefelder Straße,Lengefeld (Pockau-Lengefeld),50.7243956,13.1917113,"Lengefeld, Pockau-Lengefeld, Erzgebirgskreis, Sachsen, 09514, Deutschland"
Sosaer Straße,Sosa (Eibenstock),50.4992553,12.6520659,"Sosa, Eibenstock, Erzgebirgskreis, Sachsen, Deutschland"
Neundorfer Straße,Neundorf (Pirna),50.9168934,13.9798631,"Neundorf, Krietzschwitz, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Am Heidehof,Heidehof,51.1277301,13.8225849,"Heidehof, Langebrück, Dresden, Sachsen, 01465, Deutschland"
Köttewitzer Weg,Köttewitz,50.9388909,13.8723513,"Köttewitz, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Saydaer Straße,Sayda,50.7124239,13.4193688,"Sayda, Sayda/Dorfchemnitz, Mittelsachsen, Sachsen, Deutschland"
Birkwitzer Weg,Birkwitz,50.9798791,13.8888737,"Birkwitz, Birkwitz-Pratzschwitz, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Mockethaler Straße,Mockethal,50.9736734,13.9587007,"Mockethal, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Großsedlitzer Weg,Großsedlitz (Heidenau),50.9524444,13.8868594,"Großsedlitz, Heidenau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Kipsdorfer Weg,Kipsdorf,50.8041139,13.6754553,"Kipsdorf, Otto-Schmidt-Straße, Oberkipsdorf, Kurort Kipsdorf, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01773, Deutschland"
Rottwerndorfer Straße,Rottwerndorf (Pirna),50.9246168,13.9620763,"Rottwerndorf, Krietzschwitz, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Mühlsdorfer Weg,Mühlsdorf (Lohmen),50.9953966,13.9872946,"Mühlsdorf, Lohmen, Lohmen/Stadt Wehlen, Sächsische Schweiz-Osterzgebirge, Sachsen, 01847, Deutschland"
Reichenhaller Straße,Reichenhall,47.7222676,12.8760923,"Bad Reichenhall, Landkreis Berchtesgadener Land, Bayern, 83435, Deutschland"
Hallstätter Straße,Hallstatt,47.5621698,13.6486697,"Hallstatt, Bezirk Gmunden, Oberösterreich, 4830, Österreich"
Pfaffendorfer Straße,Pfaffendorf (Königstein),50.9074561,14.0812291,"Pfaffendorf, Königstein, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, 01824, Deutschland"
Berchtesgadener Straße,Berchtesgaden,47.6330221,13.0020051,"Berchtesgaden, Landkreis Berchtesgadener Land, Bayern, 83471, Deutschland"
Neulußheimer Straße,Neulußheim,49.2936758,8.5220709,"Neulußheim, Verwaltungsgemeinschaft Hockenheim, Rhein-Neckar-Kreis, Baden-Württemberg, 68809, Deutschland"
Altleuben,Leuben,51.0106334,13.8270795,"Leuben, Dresden, Sachsen, 01279, Deutschland"
Lungkwitzer Straße,Lungkwitz,50.9318595,13.7753341,"Lungkwitz, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Niedersedlitzer Platz,Niedersedlitz,50.9989308,13.8145926,"Niedersedlitz, Prohlis, Dresden, Sachsen, 01257, Deutschland"
Laubegaster Weg,Laubegast,51.0233708,13.8379982,"Laubegast, Leuben, Dresden, Sachsen, 01279, Deutschland"
Dresdner Straße (LB),Dresden,51.0493286,13.7381437,"Dresden, Sachsen, Deutschland"
Lugaer Straße,Luga (Dresden),50.9855988,13.8319782,"Luga, Lugaer Straße, Lockwitz, Großluga, Prohlis, Dresden, Sachsen, 01259, Deutschland"
Salzburger Straße,Salzburg,47.7981346,13.0464806,"Salzburg, 5020, Österreich"
Eisenstädter Weg,Eisenstadt (Österreich),47.8454821,16.5249288,"Eisenstadt, Burgenland, Österreich"
Seefelder Weg,Seefeld in Tirol,47.3289241,11.1867187,"Seefeld in Tirol, Bezirk Innsbruck-Land, Tirol, 6100, Österreich"
Bregenzer Weg,Bregenz,47.5025779,9.7472924,"Bregenz, Bezirk Bregenz, Vorarlberg, Österreich"
St.Pöltener Weg,St. Pölten,48.2043985,15.6229118,"St. Pölten, Niederösterreich, Österreich"
Krebser Straße,Krebs (Dohna),50.9368094,13.891582,"Krebs, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Meusegaster Straße,Meusegast (Dohna),50.9294817,13.8785306,"Meusegast, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Gmünder Straße,Gmünd in Kärnten,46.9065611,13.5359844,"Gmünd in Kärnten, Bezirk Spittal an der Drau, Kärnten, 9853, Österreich"
Brünner Straße,Brünn,49.1922443,16.6113382,"Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko"
Klagenfurter Straße,Klagenfurt am Wörthersee,46.623943,14.3075976,"Klagenfurt am Wörthersee, Kärnten, Österreich"
Friesacher Weg,Friesach,46.9520636,14.4052266,"Friesach, Bezirk St. Veit an der Glan, Kärnten, 9360, Österreich"
Alttolkewitz,Tolkewitz,51.0319811,13.8223508,"Tolkewitz, Blasewitz, Dresden, Sachsen, 01279, Deutschland"
Villacher Straße,Villach,46.6167284,13.8500268,"Villach, Kärnten, Österreich"
Eichigtweg,Eichigt,50.3645048,12.1751371,"Eichigt, Verwaltungsgemeinschaft Oelsnitz/Vogtl., Vogtlandkreis, Sachsen, Deutschland"
Altwachwitz,Wachwitz,51.0382067,13.8314672,"Wachwitz, Loschwitz, Dresden, Sachsen, 01326, Deutschland"
Leubener Straße,Leuben,51.0106334,13.8270795,"Leuben, Dresden, Sachsen, 01279, Deutschland"
Wachwitzblick,Wachwitz,51.0382067,13.8314672,"Wachwitz, Loschwitz, Dresden, Sachsen, 01326, Deutschland"
Klotzscher Straße,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Weißer-Hirsch-Straße,Weißer Hirsch,51.0641586,13.8226878,"Weißer Hirsch, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Heidenauer Straße,Heidenau,50.9735851,13.8753917,"Heidenau, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Troppauer Straße,Opava,49.9389004,17.9024174,"Opava, okres Opava, Moravskoslezský kraj, Moravskoslezsko, Česko"
Niederpoyritzer Straße,Niederpoyritz,51.0299881,13.8456531,"Niederpoyritz, Loschwitz, Dresden, Sachsen, 01326, Deutschland"
Leubener Weg,Leuben,51.0106334,13.8270795,"Leuben, Dresden, Sachsen, 01279, Deutschland"
Pirnaer Landstraße,Pirna,50.9616923,13.9386643,"Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Grazer Straße,Graz,47.0708678,15.4382786,"Graz, Steiermark, Österreich"
Schmilkaer Straße,Schmilka,50.8917065,14.2311616,"Schmilka, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Laibacher Straße,Ljubljana,46.0500268,14.5069289,"Ljubljana, Upravna Enota Ljubljana, Slovenija"
Kleinlugaer Straße,Kleinluga,50.9827084,13.8303387,"Kleinluga, Prohlis, Dresden, Sachsen, 01259, Deutschland"
Marburger Straße,Maribor,46.5576439,15.6455854,"Maribor, Slovenija"
Lugaer Platz,Luga,58.735699,29.8475013,"Луга, Лужское городское поселение, Лужский район, Ленинградская область, Северо-Западный федеральный округ, 188230, Россия"
Neugersdorfer Straße,Neugersdorf (Ebersbach-Neugersdorf),50.9820763,14.6096875,"Neugersdorf, Ebersbach-Neugersdorf, Görlitz, Sachsen, 02727, Deutschland"
Rathener Straße,Rathen,50.958235,14.0824651,"Rathen, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Bosewitzer Straße,Bosewitz,50.9660395,13.8304865,"Bosewitz, Gorknitz, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Linzer Straße,Linz,48.3059078,14.286198,"Linz, Oberösterreich, Österreich"
Iglauer Straße,Jihlava,49.396064,15.5903065,"Jihlava, okres Jihlava, Kraj Vysočina, Jihovýchod, Česko"
Schönaer Straße,Schöna (Reinhardtsdorf-Schöna),50.8842433,14.2139911,"Schöna, Reinhardtsdorf-Schöna, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Eibauer Straße,Eibau (Kottmar),50.980463,14.6649813,"Eibau, Kottmar, Bertsdorf-Hörnitz, Görlitz, Sachsen, 02739, Deutschland"
Altlaubegast,Laubegast,51.0233708,13.8379982,"Laubegast, Leuben, Dresden, Sachsen, 01279, Deutschland"
Hermannstädter Straße,Hermannstadt (Rumänien),45.7973912,24.1519202,"Sibiu, România"
Ischler Straße,Bad Ischl,47.7115299,13.6239333,"Bad Ischl, Bezirk Gmunden, Oberösterreich, 4820, Österreich"
Jonsdorfer Straße,Jonsdorf,50.8553728,14.7022916,"Jonsdorf, Olbersdorf, Görlitz, Sachsen, 02796, Deutschland"
Kronstädter Platz,Kronstadt,45.6525105,25.6105654,"Brașov, Zona Metropolitană Brașov, Brașov, România"
Laubegaster Ufer,Laubegast,51.0233708,13.8379982,"Laubegast, Leuben, Dresden, Sachsen, 01279, Deutschland"
Rosenthaler Straße,Rosenthal (Rosenthal-Bielatal),50.8466388,14.0619677,"Rosenthal, Rosenthal-Bielatal, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"
Oberwachwitzer Weg,Wachwitz,51.0382067,13.8314672,"Wachwitz, Loschwitz, Dresden, Sachsen, 01326, Deutschland"
Kleinzschachwitzer Straße,Kleinzschachwitz,51.009631,13.854418,"Kleinzschachwitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Klausenburger Straße,Cluj-Napoca,46.769379,23.5899542,"Cluj-Napoca, Zona Metropolitană Cluj, Cluj, România"
Radeberger Landstraße,Radeberg,51.1151413,13.9175257,"Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Neubühlauer Straße,Bühlau,51.0625884,13.8511298,"Bühlau, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Großzschachwitzer Straße,Großzschachwitz,51.0015845,13.8391166,"Großzschachwitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Wetroer Straße,Wetro (Puschwitz),51.2500989,14.2920112,"Puschwitz - Bóšicy, Wetro - Wětrow, Neschwitz - Njeswačidło, Bautzen - Budyšin, Sachsen, Deutschland"
Neschwitzer Straße,Neschwitz,51.2706603,14.3267475,"Neschwitz - Njeswačidło, Bautzen - Budyšin, Sachsen, 02699, Deutschland"
Thürmsdorfer Straße,Thürmsdorf (Struppen),50.933395,14.0449577,"Thürmsdorf, Struppen, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, 01829, Deutschland"
Weißenberger Straße,Weißenberg,51.1968328,14.658726,"Weißenberg, Bautzen - Budyšin, Sachsen, Deutschland"
Krieschendorfer Straße,Krieschendorf,51.0234303,13.8856378,"Krieschendorf, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Zaschendorfer Straße,Zaschendorf,51.0179808,13.9119487,"Zaschendorf, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Crostauer Weg,Crostau,51.0833,14.4499999,"Crostau, Schirgiswalde-Kirschau, Bautzen - Budyšin, Sachsen, Deutschland"
Pillnitzer Landstraße,Pillnitz,51.0126628,13.8713801,"Pillnitz, Loschwitz, Dresden, Sachsen, 01259, Deutschland"
Radeberger Straße (LB),Radeberg,51.1151413,13.9175257,"Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Laubegaster Straße,Laubegast,51.0233708,13.8379982,"Laubegast, Leuben, Dresden, Sachsen, 01279, Deutschland"
Malschendorfer Straße,Malschendorf (Dresden),51.026096,13.8829907,"Malschendorf, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Pappritzer Weg,Pappritz,51.038152,13.8539764,"Pappritz, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Wilthener Straße,Posen,52.4006632,16.9197326,"Poznań, powiat poznański, województwo wielkopolskie, Polska"
Altrochwitz,Rochwitz,51.0494617,13.844271,"Rochwitz, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Weißiger Straße ,Weißig,51.0611241,13.8846225,"Weißig, Schönfeld-Weißig, Dresden, Sachsen, Deutschland"
Bühlauer Straße,Bühlau,51.0625884,13.8511298,"Bühlau, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Sohlander Straße,Sohland an der Spree,51.0480913,14.427963,"Sohland an der Spree, Bautzen - Budyšin, Sachsen, 02689, Deutschland"
Rochwitzer Weg,Rochwitz,51.0494617,13.844271,"Rochwitz, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Gönnsdorfer Straße,Gönnsdorf,51.0482056,13.86893,"Gönnsdorf, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Milkeler Straße,Milkel,51.2986316,14.4566538,"Milkel - Minakał, Radibor - Radwor, Bautzen - Budyšin, Sachsen, Deutschland"
Königsberger Straße,Königsberg,54.7046485,20.4565666,"городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия"
Pappritzer Straße,Pappritz,51.038152,13.8539764,"Pappritz, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Meußlitzer Straße,Meußlitz,50.9973863,13.8551618,"Meußlitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Wehrsdorfer Straße,Wehrsdorf (Sohland a. d. Spree),51.0551856,14.3895943,"Wehrsdorf, Sohland an der Spree, Bautzen - Budyšin, Sachsen, 02689, Deutschland"
Schönborner Straße,Schönborn (Dresden),51.1465332,13.8613321,"Schönborn, Dresden, Sachsen, Deutschland"
Altkleinzschachwitz,Kleinzschachwitz,51.009631,13.854418,"Kleinzschachwitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Kirschauer Straße,Kirschau (Schirgiswalde-Kirschau),51.0921642,14.4251966,"Kirschau, Schirgiswalde-Kirschau, Bautzen - Budyšin, Sachsen, 02681, Deutschland"
Neukircher Straße,Neukirch/Lausitz,51.0974143,14.2975952,"Neukirch/Lausitz, Bautzen - Budyšin, Sachsen, 01904, Deutschland"
Altsporbitz,Sporbitz,50.9937401,13.8502349,"Sporbitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Rockauer Straße,Rockau,51.0278281,13.8648317,"Rockau, Schönfeld-Weißig, Dresden, Sachsen, 01326, Deutschland"
Zschierener Straße,Zschieren,50.9918571,13.8750001,"Zschieren, Leuben, Dresden, Sachsen, 01259, Deutschland"
Großschönauer Straße,Großschönau,50.8965344,14.6612911,"Großschönau, Großschönau-Hainewalde, Görlitz, Sachsen, Deutschland"
Sporbitzer Ring,Sporbitz,50.9937401,13.8502349,"Sporbitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Oppacher Straße,Oppach,51.0584736,14.5049458,"Oppach, Oppach-Beiersdorf, Görlitz, Sachsen, Deutschland"
Gnaschwitzer Straße,Gnaschwitz,51.1474116,14.3698075,"Gnaschwitz - Hnašecy, Doberschau-Gaußig - Dobruša-Huska, Bautzen - Budyšin, Sachsen, Deutschland"
Hosterwitzer Straße,Hosterwitz,51.0145851,13.8630803,"Hosterwitz, Loschwitz, Dresden, Sachsen, 01259, Deutschland"
Kleinzschachwitzer Ufer,Kleinzschachwitz,51.009631,13.854418,"Kleinzschachwitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Ostritzer Straße,Ostritz,51.014934,14.9327975,"Ostritz, Görlitz, Sachsen, 02899, Deutschland"
Cunewalder Straße,Cunewalde,51.098481,14.514475,"Cunewalde, Bautzen - Budyšin, Sachsen, 02733, Deutschland"
Taubenheimer Straße,Taubenheim/Spree,51.0436335,14.4805027,"Taubenheim/Spree, Sohland an der Spree, Bautzen - Budyšin, Sachsen, 02736, Deutschland"
Oybiner Straße,Oybin,50.8420861,14.74301,"Oybin, Olbersdorf, Görlitz, Sachsen, 02797, Deutschland"
Olbersdorfer Straße,Olbersdorf (Sachsen),50.8700733,14.7631229,"Olbersdorf, Görlitz, Sachsen, 02785, Deutschland"
Sporbitzer Straße,Sporbitz (Dresden),50.9937401,13.8502349,"Sporbitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
Ullersdorfer Platz,Ullersdorf (Radeberg),51.0820308,13.9024087,"Ullersdorf, Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Lückendorfer Straße,Lückendorf,50.830479,14.7628123,"Lückendorf, Oybin, Olbersdorf, Görlitz, Sachsen, Deutschland"
Hainewalder Straße,Hainewalde,50.9101231,14.7040523,"Hainewalde, Großschönau-Hainewalde, Görlitz, Sachsen, Deutschland"
Liegauer Straße (LB),Liegau (Radeberg),51.1392375,13.8875958,"Liegau-Augustusbad, Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Rochwitzer Straße,Rochwitz,51.0494617,13.844271,"Rochwitz, Loschwitz, Dresden, Sachsen, 01324, Deutschland"
Ullersdorf-Langebrücker Straße,Langebrück,51.1313939,13.8409193,"Langebrück, Dresden, Sachsen, 01465, Deutschland"
Lomnitzer Straße,Lomnitz (Wachau),51.1909087,13.8950359,"Lomnitz, Wachau, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Eschdorfer Weg,Eschdorf (Dresden),51.0367904,13.9421865,"Eschdorf, Schönfeld-Weißig, Dresden, Sachsen, 01328, Deutschland"
Krippener Straße,Krippen (Bad Schandau),50.9054619,14.1651869,"Krippen, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01814, Deutschland"
Grünberger Straße (SB),Grünberg (Ottendorf-Okrilla),51.1627611,13.8400805,"Grünberg, Ottendorf-Okrilla, Bautzen - Budyšin, Sachsen, Deutschland"
Ullersdorfer Straße,Ullersdorf (Radeberg),51.0820308,13.9024087,"Ullersdorf, Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
